name,type,value,date
Germany,,323323,1988/1/1
Germany,,341231,1989/1/1
Germany,,421100,1990/1/1
Germany,,402843,1991/1/1
Germany,,430042,1992/1/1
Germany,,380096,1993/1/1
Germany,,426935,1994/1/1
Germany,,523461,1995/1/1
Germany,,524649,1996/1/1
Germany,,512891,1997/1/1
Germany,,543752,1998/1/1
Germany,,543539,1999/1/1
Germany,,551810,2000/1/1
Germany,,571645,2001/1/1
Germany,,615831,2002/1/1
Germany,,751560,2003/1/1
Germany,,909887,2004/1/1
Germany,,970914,2005/1/1
Germany,,1108107,2006/1/1
Germany,,1321214,2007/1/1
Germany,,1446171,2008/1/1
Germany,,1120041,2009/1/1
Germany,,1258924,2010/1/1
Germany,,1473985,2011/1/1
Germany,,1401113,2012/1/1
Germany,,1445067,2013/1/1
Germany,,1494214,2014/1/1
Germany,,1326206,2015/1/1
Germany,,1334355,2016/1/1
Germany,,1448191,2017/1/1
Germany,,1560539,2018/1/1
Germany,,1489412,2019/1/1
Germany,,1380000,2020/1/1
"Hong Kong, China",,399,1948/1/1
"Hong Kong, China",,526,1949/1/1
"Hong Kong, China",,650,1950/1/1
"Hong Kong, China",,776,1951/1/1
"Hong Kong, China",,507,1952/1/1
"Hong Kong, China",,478,1953/1/1
"Hong Kong, China",,423,1954/1/1
"Hong Kong, China",,443,1955/1/1
"Hong Kong, China",,562,1956/1/1
"Hong Kong, China",,528,1957/1/1
"Hong Kong, China",,523,1958/1/1
"Hong Kong, China",,574,1959/1/1
"Hong Kong, China",,689,1960/1/1
"Hong Kong, China",,688,1961/1/1
"Hong Kong, China",,768,1962/1/1
"Hong Kong, China",,873,1963/1/1
"Hong Kong, China",,1012,1964/1/1
"Hong Kong, China",,1143,1965/1/1
"Hong Kong, China",,1324,1966/1/1
"Hong Kong, China",,1527,1967/1/1
"Hong Kong, China",,1744,1968/1/1
"Hong Kong, China",,2177,1969/1/1
"Hong Kong, China",,2515,1970/1/1
"Hong Kong, China",,2875,1971/1/1
"Hong Kong, China",,3436,1972/1/1
"Hong Kong, China",,5071,1973/1/1
"Hong Kong, China",,5968,1974/1/1
"Hong Kong, China",,6026,1975/1/1
"Hong Kong, China",,8484,1976/1/1
"Hong Kong, China",,9616,1977/1/1
"Hong Kong, China",,11453,1978/1/1
"Hong Kong, China",,15140,1979/1/1
"Hong Kong, China",,20323,1980/1/1
"Hong Kong, China",,21775,1981/1/1
"Hong Kong, China",,21343,1982/1/1
"Hong Kong, China",,22454,1983/1/1
"Hong Kong, China",,28337,1984/1/1
"Hong Kong, China",,30077,1985/1/1
"Hong Kong, China",,36081,1986/1/1
"Hong Kong, China",,48712,1987/1/1
"Hong Kong, China",,63493,1988/1/1
"Hong Kong, China",,73336,1989/1/1
"Hong Kong, China",,82390,1990/1/1
"Hong Kong, China",,98659,1991/1/1
"Hong Kong, China",,119586,1992/1/1
"Hong Kong, China",,135385,1993/1/1
"Hong Kong, China",,151465,1994/1/1
"Hong Kong, China",,173871,1995/1/1
